Unnamed: 0,Coluna_0,Coluna_1,Coluna_2,Coluna_3,Coluna_4,Coluna_5,Coluna_7,Coluna_8,Coluna_11,Coluna_12
20240,2017,2,25,20,20,31,-19.85295,-43.70182,0,-3
20268,2017,2,25,20,20,47,-19.85164,-43.75466,0,-3
20279,2017,2,25,20,20,54,-19.67182,-43.852,0,-3
20296,2017,2,25,20,21,12,-19.86827,-43.7526,0,-3
20406,2017,2,25,20,22,37,-19.77778,-43.80307,0,3
20936,2017,2,25,20,28,5,-19.67589,-43.89352,0,-3
20970,2017,2,25,20,29,25,-19.90837,-43.7217,0,-3
21026,2017,2,25,20,30,16,-19.84672,-43.70279,0,3
21044,2017,2,25,20,30,28,-19.55284,-43.77133,0,3
21176,2017,2,25,20,31,6,-19.84399,-43.79293,0,-3
21210,2017,2,25,20,32,26,-19.87563,-43.78661,0,-3
21265,2017,2,25,20,32,5,-19.8434,-43.78802,0,-3
21278,2017,2,25,20,33,23,-19.81798,-43.74008,0,-3
21298,2017,2,25,20,33,38,-19.97389,-43.78874,0,3
21595,2017,2,25,20,36,4,-19.82463,-43.71326,0,-3
21723,2017,2,25,20,38,1,-19.84624,-43.77352,0,-3
22125,2017,2,25,20,45,15,-19.51384,-43.82655,0,3
22140,2017,2,25,20,45,34,-19.60124,-43.72562,0,3
22158,2017,2,25,20,45,55,-19.84612,-43.78992,0,-3
22254,2017,2,25,20,47,35,-19.57365,-43.77684,0,3
22316,2017,2,25,20,48,28,-19.51189,-43.90135,0,3
22662,2017,2,25,20,54,2,-19.57869,-43.85195,0,-3
22838,2017,2,25,20,58,10,-19.58865,-43.70186,0,-3
22842,2017,2,25,20,58,10,-19.58675,-43.72325,0,-3
22855,2017,2,25,20,58,31,-19.57209,-43.7431,0,-3
22890,2017,2,25,20,59,13,-19.59327,-43.73204,0,3
23022,2017,2,25,20,0,5,-19.80355,-43.85081,0,-3
23075,2017,2,25,20,1,40,-19.9215,-43.76453,0,-3
23228,2017,2,25,20,3,4,-19.87201,-43.7372,0,-3
23255,2017,2,25,20,4,23,-19.87626,-43.75242,0,-3
23483,2017,2,25,20,7,36,-19.72242,-43.75423,0,3
23557,2017,2,25,20,8,37,-19.72325,-43.77987,0,-3
24009,2017,2,25,21,20,21,-19.57137,-43.73205,0,3
24683,2017,2,25,21,40,55,-19.62745,-43.72826,0,-3
25443,2017,2,25,21,0,0,-19.52095,-43.8031,0,-3
25573,2017,2,25,21,3,6,-19.5891,-43.7303,0,-3
25645,2017,2,25,21,5,18,-19.49907,-43.79973,0,3
25697,2017,2,25,21,6,33,-19.52986,-43.87956,0,-3
3621,2017,5,5,17,0,45,-20.12564,-43.66082,0,3
11365,2017,5,5,19,42,28,-19.88677,-43.57771,0,-3
3846,2017,1,9,16,48,30,-20.35092,-43.83399,0,-3
5217,2017,1,9,17,41,56,-20.29487,-43.67687,0,-3
5833,2017,1,9,17,59,48,-20.09991,-43.57368,0,-3
7618,2017,1,9,18,2,30,-20.06329,-43.70234,0,3
3865,2017,12,21,18,25,55,-19.55684,-44.11964,0,-3
7102,2017,12,21,22,14,38,-20.11153,-44.64106,0,-3
7553,2017,12,21,22,53,51,-20.38711,-44.53514,0,-3
7567,2017,12,21,22,54,11,-20.28044,-44.53249,0,3
7903,2017,12,21,23,20,34,-20.3356,-44.52951,0,3
7934,2017,12,21,23,25,55,-20.33443,-44.46266,0,-3
8050,2017,12,21,23,58,14,-20.34331,-44.66002,0,-3
8124,2017,12,21,23,8,17,-20.34838,-44.51517,0,-3
6166,2017,1,7,17,39,50,-19.95168,-44.2799,0,-3
7287,2017,1,7,17,49,42,-20.09894,-44.01585,0,3
8884,2017,1,7,18,11,3,-20.01456,-44.4958,0,3
